G0	:HGNC:549
G1	:HGNC:550
G2	:HGNC:80
G3	:HGNC:2602
G4	:HGNC:2606
G5	:HGNC:10691
G6	:HGNC:11455
G7	:HGNC:21481
G8	:HGNC:28335
G9	:HGNC:30866
G10	:HGNC:6544
G11	:HGNC:6541
G12	:HGNC:6535
G13	:HGNC:2898
G14	:HGNC:21350
G15	:HGNC:2911
G16	:HGNC:8124
G17	:HGNC:249
G18	:HGNC:255
G19	:HGNC:251
G20	:HGNC:252
G21	:HGNC:253
G22	:HGNC:16354
G23	:HGNC:256
G24	:HGNC:250
G25	:HGNC:2228
G26	:HGNC:409
G27	:HGNC:411
G28	:HGNC:405
G29	:HGNC:410
G30	:HGNC:5147
G31	:HGNC:23
G32	:HGNC:4021
G33	:HGNC:4796
G34	:HGNC:23408
G35	:HGNC:17929
G36	:HGNC:1564
G37	:HGNC:2719
G38	:HGNC:4908
G39	:HGNC:6834
G40	:HGNC:6833
G41	:HGNC:125
G42	:HGNC:123
G43	:HGNC:124
G44	:HGNC:29609
G45	:HGNC:4093
G46	:HGNC:18966
G47	:HGNC:4092
G48	:HGNC:4432
G49	:HGNC:4433
G50	:HGNC:406
G51	:HGNC:11453
G52	:HGNC:11454
G53	:HGNC:11458
G54	:HGNC:553
G55	:HGNC:404
G56	:HGNC:407
G57	:HGNC:6059
G58	:HGNC:6827
G59	:HGNC:6826
G60	:HGNC:18149
G61	:HGNC:17968
G62	:HGNC:21298
G63	:HGNC:79
G64	:HGNC:412
G65	:HGNC:4803
G66	:HGNC:83
G67	:HGNC:93
G68	:HGNC:94
G69	:HGNC:4801
G70	:HGNC:82
G71	:HGNC:84
G72	:HGNC:85
G73	:HGNC:15814
G74	:HGNC:16091
G75	:HGNC:24723
G76	:HGNC:9959
G77	:HGNC:19980
G78	:HGNC:17174
G79	:HGNC:8907
G80	:HGNC:8966
G81	:HGNC:17996
G82	:HGNC:108
G83	:HGNC:115
G84	:HGNC:19237
G85	:HGNC:16140
G86	:HGNC:91
G87	:HGNC:89
G88	:HGNC:90
G89	:HGNC:87
G90	:HGNC:21497
G91	:HGNC:30211
G92	:HGNC:21597
G93	:HGNC:6186
G94	:HGNC:24436
G95	:HGNC:119
G96	:HGNC:3594
G97	:HGNC:177
G98	:HGNC:117
G99	:HGNC:6115
G100	:HGNC:118
G101	:HGNC:120
G102	:HGNC:122
G103	:HGNC:750
G104	:HGNC:2631
G105	:HGNC:179
