M0:	10fthf5glu_c
M1:	10fthf5glu_e
M2:	10fthf5glu_l
M3:	10fthf5glu_m
M4:	10fthf6glu_c
M5:	10fthf6glu_e
M6:	10fthf6glu_l
M7:	10fthf6glu_m
M8:	10fthf7glu_c
M9:	10fthf7glu_e
M10:	10fthf7glu_l
M11:	10fthf7glu_m
M12:	10fthf_c
M13:	10fthf_e
M14:	10fthf_l
M15:	10fthf_m
M16:	11_cis_retfa_c
M17:	11_cis_retfa_e
M18:	11docrtsl_c
M19:	11docrtsl_m
M20:	11docrtsl_r
M21:	11docrtstrn_c
M22:	11docrtstrn_m
M23:	11docrtstrn_r
M24:	12HPET_c
M25:	12RHPET_c
M26:	12harachd_r
M27:	12ppd_R_c
M28:	12ppd_S_c
M29:	13_cis_oretn_c
M30:	13_cis_oretn_n
M31:	13_cis_retn_c
M32:	13_cis_retn_n
M33:	13_cis_retn_r
M34:	13dampp_c
M35:	13dpg_c
M36:	15HPET_c
M37:	15HPET_n
M38:	15HPET_r
M39:	17ahprgnlone_c
M40:	17ahprgnlone_g
M41:	17ahprgnlone_l
M42:	17ahprgnlone_m
M43:	17ahprgnlone_r
M44:	17ahprgstrn_c
M45:	17ahprgstrn_m
M46:	17ahprgstrn_r
M47:	18harachd_r
M48:	1a2425thvitd2_m
M49:	1a2425thvitd3_m
M50:	1a25dhvitd2_m
M51:	1a25dhvitd3_c
M52:	1a25dhvitd3_m
M53:	1a25dhvitd3_n
M54:	1ddecg3p_c
M55:	1glyc_hs_e
M56:	1mncam_c
M57:	1mncam_e
M58:	1mpyr_c
M59:	1p2cbxl_x
M60:	1p3h5c_c
M61:	1p3h5c_m
M62:	1pipdn2c_x
M63:	1pyr5c_c
M64:	1pyr5c_m
M65:	20ahchsterol_m
M66:	23cump_c
M67:	23cump_e
M68:	23doguln_c
M69:	23dpg_c
M70:	2425dhvitd2_c
M71:	2425dhvitd2_e
M72:	2425dhvitd2_m
M73:	2425dhvitd3_c
M74:	2425dhvitd3_e
M75:	2425dhvitd3_m
M76:	24nph_c
M77:	24nph_e
M78:	25aics_c
M79:	25hvitd2_c
M80:	25hvitd2_e
M81:	25hvitd2_m
M82:	25hvitd3_c
M83:	25hvitd3_e
M84:	25hvitd3_m
M85:	2amac_c
M86:	2ameph_c
M87:	2aobut_m
M88:	2c23dh56dhoxin_c
M89:	2coum_c
M90:	2ddecdicoa_m
M91:	2ddecdicoa_x
M92:	2decdicoa_m
M93:	2decdicoa_x
M94:	2docohexecoa_m
M95:	2docopencoa_m
M96:	2docopencoa_x
M97:	2dodtricoa_m
M98:	2dodtricoa_x
M99:	2dp6mep_m
M100:	2dp6mobq_m
M101:	2dp6mobq_me_m
M102:	2dpmhobq_m
M103:	2dr1p_c
M104:	2dr5p_c
M105:	2hb_c
M106:	2hb_e
M107:	2hexdtetcoa_m
M108:	2hexdtetcoa_x
M109:	2hexdtricoa_m
M110:	2hexdtricoa_x
M111:	2hyoxplac_c
M112:	2kmb_c
M113:	2maacoa_m
M114:	2mb2coa_c
M115:	2mb2coa_m
M116:	2mbcoa_m
M117:	2mcacn_c
M118:	2mcit_c
M119:	2mcit_e
M120:	2mop_c
M121:	2mop_m
M122:	2mp2coa_m
M123:	2mpdhl_m
M124:	2obut_c
M125:	2obut_m
M126:	2octdectecoa_m
M127:	2octdectecoa_x
M128:	2octpencoa_m
M129:	2oxoadp_c
M130:	2oxoadp_m
M131:	2pg_c
M132:	2pglyc_c
M133:	34dhcinm_c
M134:	34dhmald_c
M135:	34dhmald_m
M136:	34dhoxmand_c
M137:	34dhoxmand_m
M138:	34dhoxpeg_c
M139:	34dhoxpeg_e
M140:	34dhpac_c
M141:	34dhpha_c
M142:	34dhphe_c
M143:	34dhphe_e
M144:	34hpl_m
M145:	34hpp_c
