R0	:EX_10fthf_b
R1	:EX_11_cis_retfa_b
R2	:EX_13_cis_retn_b
R3	:EX_1a25dhvitd3_b
R4	:EX_1glyc_hs_b
R5	:EX_1mncam_b
R6	:EX_23cump_b
R7	:EX_2425dhvitd2_b
R8	:EX_2425dhvitd3_b
R9	:EX_24nph_b
R10	:EX_25hvitd2_b
R11	:EX_25hvitd3_b
R12	:EX_2hb_b
R13	:EX_2mcit_b
R14	:EX_34dhoxpeg_b
R15	:EX_34dhphe_b
R16	:EX_34hpp_b
R17	:EX_35cgmp_b
R18	:EX_3aib_D_b
R19	:EX_3aib_b
R20	:EX_3bcrn_b
R21	:EX_3ddcrn_b
R22	:EX_3deccrn_b
R23	:EX_3hdececrn_b
R24	:EX_3hexdcrn_b
R25	:EX_3ivcrn_b
R26	:EX_3mlda_b
R27	:EX_3mob_b
R28	:EX_3mop_b
R29	:EX_3octdec2crn_b
R30	:EX_3octdeccrn_b
R31	:EX_3octdece1crn_b
R32	:EX_3tdcrn_b
R33	:EX_3tetd7ecoacrn_b
R34	:EX_3thexddcoacrn_b
R35	:EX_3ttetddcoacrn_b
R36	:EX_3ump_b
R37	:EX_4abut_b
R38	:EX_4abutn_b
R39	:EX_4hdebrisoquine_b
R40	:EX_4hphac_b
R41	:EX_4hpro_LT_b
R42	:EX_4mop_b
R43	:EX_4mptnl_b
R44	:EX_4mtolbutamide_b
R45	:EX_4nph_b
R46	:EX_4nphsf_b
R47	:EX_4pyrdx_b
R48	:EX_5HPET_b
R49	:EX_5adtststerone_b
R50	:EX_5adtststeroneglc_b
R51	:EX_5fthf_b
R52	:EX_5homeprazole_b
R53	:EX_5htrp_b
R54	:EX_5mta_b
R55	:EX_5mthf_b
R56	:EX_5oxpro_b
R57	:EX_6htststerone_b
R58	:EX_9_cis_retfa_b
R59	:EX_Asn_X_Ser_Thr_b
R60	:EX_C02470_b
R61	:EX_C02528_b
R62	:EX_C04849_b
R63	:EX_C05965_b
R64	:EX_CE0074_b
R65	:EX_CE1940_b
R66	:EX_CE1950_b
R67	:EX_CE2011_b
R68	:EX_CE2250_b
R69	:EX_CE2838_b
R70	:EX_CE2839_b
R71	:EX_CE4633_b
R72	:EX_CE4881_b
R73	:EX_CE5797_b
R74	:EX_CE5798_b
R75	:EX_HC00229_b
R76	:EX_HC00250_b
R77	:EX_HC00342_b
R78	:EX_HC00822_b
R79	:EX_HC00955_b
R80	:EX_HC01104_b
R81	:EX_HC01361_b
R82	:EX_HC01440_b
R83	:EX_HC01441_b
R84	:EX_HC01444_b
R85	:EX_HC01446_b
R86	:EX_HC01577_b
R87	:EX_HC01609_b
R88	:EX_HC01610_b
R89	:EX_HC01700_b
R90	:EX_HC01787_b
R91	:EX_HC02154_b
R92	:EX_HC02160_b
R93	:EX_HC02161_b
